"Category","Overheads"
"Salary Expense",17.93
"Interest Expense ",0.21
"Marketing Expense",19.76
"Rental Expense",10.22
"Overflow Expense - Retail",0.29
"Overflow Expense - Warehouse",0.11
"Penalty Expense",6.99
"Depreciation Expense",20.8
"Shipping Expense",11.93
"Human Resource Expense",11.77
